table_name,rule_id,dimension,severity,description,total_count,failed_count,passed_count,pass_rate,recommendation,failed_examples
entities,ENT-001,Completeness,Critical,entity_id must not be null.,5100,0,5100,1.0,Ensure every entity has a stable master identifier.,[]
entities,ENT-002,Uniqueness,Critical,entity_id must be unique.,5100,200,4900,0.9608,Investigate duplicate entity IDs and apply survivorship rules.,"[{'entity_id': 'ENT000024', 'legal_name': 'Lagos Continental Services', 'country_code': 'NL', 'source_system': 'Internal Master'}, {'entity_id': 'ENT000030', 'legal_name': 'Redwood Industries', 'country_code': 'DE', 'source_system': 'Issuer Feed'}, {'entity_id': 'ENT000066', 'legal_name': 'Oakwell Technologies', 'country_code': 'US', 'source_system': 'Issuer Feed'}, {'entity_id': 'ENT000080', 'legal_name': 'Albion Investments', 'country_code': 'BR', 'source_system': 'KYC Platform'}, {'entity_id': 'ENT000085', 'legal_name': 'Helios Limited', 'country_code': 'DE', 'source_system': 'Issuer Feed'}]"
entities,ENT-003,Completeness,High,legal_name must not be null.,5100,75,5025,0.9853,Request missing legal names from the source owner or provider.,"[{'entity_id': 'ENT000079', 'legal_name': nan, 'source_system': 'Manual Upload'}, {'entity_id': 'ENT000099', 'legal_name': nan, 'source_system': 'KYC Platform'}, {'entity_id': 'ENT000103', 'legal_name': nan, 'source_system': 'ProviderA'}, {'entity_id': 'ENT000156', 'legal_name': nan, 'source_system': 'Issuer Feed'}, {'entity_id': 'ENT000168', 'legal_name': nan, 'source_system': 'KYC Platform'}]"
entities,ENT-004,Validity,High,country_code must be in the approved country list.,5100,126,4974,0.9753,Standardise invalid country codes.,"[{'entity_id': 'ENT000013', 'legal_name': 'Frontier Industries', 'country_code': nan, 'source_system': 'KYC Platform'}, {'entity_id': 'ENT000042', 'legal_name': 'BluePeak Corporation', 'country_code': nan, 'source_system': 'Manual Upload'}, {'entity_id': 'ENT000199', 'legal_name': 'Korefield PLC', 'country_code': nan, 'source_system': 'ProviderA'}, {'entity_id': 'ENT000257', 'legal_name': 'Silvergate Corporation', 'country_code': 'XX', 'source_system': 'Issuer Feed'}, {'entity_id': 'ENT000340', 'legal_name': 'Meridian Finance', 'country_code': nan, 'source_system': 'Issuer Feed'}]"
entities,ENT-005,Validity,Medium,entity_type must be in the approved taxonomy.,5100,78,5022,0.9847,Map unsupported entity types to the approved taxonomy.,"[{'entity_id': 'ENT000040', 'legal_name': 'Oakwell Industries', 'entity_type': 'Company?'}, {'entity_id': 'ENT000041', 'legal_name': 'Granite Energy', 'entity_type': 'UnknownType'}, {'entity_id': 'ENT000163', 'legal_name': 'Union Holdings', 'entity_type': 'Company?'}, {'entity_id': 'ENT000203', 'legal_name': 'Albion Technologies', 'entity_type': nan}, {'entity_id': 'ENT000333', 'legal_name': 'Oakwell Industries', 'entity_type': nan}]"
entities,ENT-006,Validity,Medium,status must be in the approved status list.,5100,50,5050,0.9902,Standardise status values across source systems.,"[{'entity_id': 'ENT000310', 'legal_name': nan, 'status': 'Closed?'}, {'entity_id': 'ENT000335', 'legal_name': 'Westbridge Ltd', 'status': 'Closed?'}, {'entity_id': 'ENT000521', 'legal_name': 'Greenfield Corporation', 'status': nan}, {'entity_id': 'ENT000540', 'legal_name': 'Crestline Corporation', 'status': 'Running'}, {'entity_id': 'ENT000802', 'legal_name': 'PrimeEdge Group', 'status': nan}]"
entities,ENT-007,Validity,High,incorporation_date cannot be in the future.,5100,51,5049,0.99,Review future incorporation dates with the source owner.,"[{'entity_id': 'ENT000079', 'legal_name': nan, 'incorporation_date': '2027-08-18'}, {'entity_id': 'ENT000203', 'legal_name': 'Albion Technologies', 'incorporation_date': '2027-02-09'}, {'entity_id': 'ENT000348', 'legal_name': 'Atlas Holdings', 'incorporation_date': '2027-08-17'}, {'entity_id': 'ENT000408', 'legal_name': 'Frontier Corporation', 'incorporation_date': '2027-01-04'}, {'entity_id': 'ENT000548', 'legal_name': 'Helios Ltd', 'incorporation_date': '2027-04-10'}]"
entities,ENT-008,Timeliness,Medium,active entity records should be verified within the last 365 days.,5100,3611,1489,0.292,Prioritise stale active entities for review.,"[{'entity_id': 'ENT000002', 'legal_name': 'Horizon Energy', 'status': 'Active', 'last_verified_date': '2023-06-08'}, {'entity_id': 'ENT000003', 'legal_name': 'Crestline Services', 'status': 'Active', 'last_verified_date': '2023-06-23'}, {'entity_id': 'ENT000005', 'legal_name': 'Sterling Ltd', 'status': 'Active', 'last_verified_date': '2022-12-18'}, {'entity_id': 'ENT000006', 'legal_name': 'Meridian Finance', 'status': 'Active', 'last_verified_date': '2021-02-14'}, {'entity_id': 'ENT000007', 'legal_name': 'Redwood Investments', 'status': 'Active', 'last_verified_date': '2021-07-14'}]"
entities,ENT-009,Completeness,Medium,private companies should have a registration number where available.,5100,110,4990,0.9784,Improve enrichment for private company registration numbers.,"[{'entity_id': 'ENT000004', 'legal_name': 'Atlas Industries', 'entity_type': 'Private Company', 'registration_number': nan}, {'entity_id': 'ENT000029', 'legal_name': 'Meridian PLC', 'entity_type': 'Private Company', 'registration_number': nan}, {'entity_id': 'ENT000062', 'legal_name': 'Horizon Energy', 'entity_type': 'Private Company', 'registration_number': nan}, {'entity_id': 'ENT000074', 'legal_name': 'Northbridge Holdings', 'entity_type': 'Private Company', 'registration_number': nan}, {'entity_id': 'ENT000121', 'legal_name': 'Riverstone Partners', 'entity_type': 'Private Company', 'registration_number': nan}]"
issuers,ISS-001,Completeness,Critical,issuer_id must not be null.,1515,0,1515,1.0,Ensure every issuer record has a stable issuer identifier.,[]
